Time[s], Channel 0, Channel 2
137.364746999999994, 1, 0
137.453914999999995, 0, 0
137.454692999999992, 0, 1
137.551279999999991, 0, 0
137.552767999999986, 1, 0
137.644949999999994, 0, 0
137.645412999999991, 0, 1
137.734195999999997, 0, 0
137.736480999999998, 1, 0
137.825413999999995, 1, 1
137.825549999999993, 0, 1
137.924026999999995, 1, 1
137.924644000000001, 1, 0
138.013072999999991, 0, 0
138.013604999999984, 0, 1
138.112628999999998, 1, 1
138.113327999999996, 1, 0
138.205874999999992, 1, 1
138.207100999999994, 0, 1
138.293343999999991, 1, 1
138.295924999999983, 1, 0
138.383921999999984, 1, 1
138.384001999999981, 0, 1
138.475157999999993, 0, 0
138.475849999999980, 1, 0
138.573894999999993, 1, 1
138.574658999999997, 0, 1
138.664460999999989, 0, 0
138.664910999999989, 1, 0
138.754574999999988, 1, 1
138.754665999999986, 0, 1
138.853043999999983, 0, 0
138.853456999999992, 1, 0
138.944460999999990, 1, 1
138.945042999999998, 0, 1
139.033923999999985, 1, 1
139.035889999999995, 1, 0
139.136634999999984, 1, 1
139.136876999999998, 0, 1
139.221640000000008, 0, 0
139.222649999999987, 1, 0
139.313831999999991, 0, 0
139.314830000000001, 0, 1
139.410892999999987, 1, 1
139.411141999999984, 1, 0
139.501115999999996, 1, 1
139.507271000000003, 0, 1
139.603009999999983, 0, 0
139.605891999999983, 1, 0
139.685421999999988, 0, 0
139.686428000000006, 0, 1
139.782389999999992, 1, 1
139.783046999999982, 1, 0
139.871845000000008, 0, 0
139.871906999999993, 0, 1
139.966991000000007, 0, 0
139.968369999999993, 1, 0
140.063359999999989, 1, 1
140.064374999999984, 0, 1
140.154758999999984, 0, 0
140.156954999999982, 1, 0
140.246092000000004, 0, 0
140.246468999999991, 0, 1
140.336082000000005, 0, 0
140.336252000000002, 1, 0
140.429614999999984, 0, 0
140.433475999999985, 0, 1
140.525850999999989, 1, 1
140.527533000000005, 1, 0
140.616009999999989, 0, 0
140.617640999999992, 0, 1
140.706166999999994, 1, 1
140.707590999999979, 1, 0
140.803877000000000, 0, 0
140.804824999999994, 0, 1
140.894602999999989, 1, 1
140.896087999999992, 1, 0
140.986306999999982, 0, 0
140.987032999999997, 0, 1
141.086489999999998, 1, 1
141.086996999999997, 1, 0
141.179577999999992, 0, 0
141.180180000000007, 0, 1
141.264733000000007, 1, 1
141.265238999999980, 1, 0
141.358946000000003, 1, 1
141.360917999999998, 0, 1
141.454516999999981, 0, 0
141.456558000000001, 1, 0
141.545411000000001, 0, 0
141.546329999999983, 0, 1
141.640235999999987, 1, 1
141.640383999999983, 1, 0
141.733442999999994, 1, 1
141.734094999999996, 0, 1
141.826873000000006, 1, 1
141.829813999999999, 1, 0
141.915856999999988, 1, 1
141.915885000000003, 0, 1
142.005724999999984, 1, 1
142.007747999999992, 1, 0
142.108481999999981, 0, 0
142.110270999999983, 0, 1
142.194777999999985, 1, 1
142.195781999999980, 1, 0
142.285510999999985, 0, 0
142.286152999999985, 0, 1
142.377085999999991, 0, 0
142.378355999999997, 1, 0
142.472329000000002, 0, 0
142.476562999999999, 0, 1
142.565741000000003, 1, 1
142.567680999999993, 1, 0
142.655642999999998, 0, 0
142.655776000000003, 0, 1
142.753387000000004, 1, 1
142.754744999999986, 1, 0
142.841848999999996, 0, 0
142.842824000000007, 0, 1
142.934327999999994, 1, 1
142.935750999999982, 1, 0
143.029767999999990, 0, 0
143.031921999999980, 0, 1
143.125954000000007, 0, 0
143.126879000000002, 1, 0
143.215816999999987, 1, 1
143.215823000000000, 0, 1
143.304541999999998, 1, 1
143.304956000000004, 1, 0
143.407303999999982, 0, 0
143.409137999999984, 0, 1
143.492925999999983, 1, 1
143.493785000000003, 1, 0
143.584885999999983, 0, 0
143.587027000000006, 0, 1
143.676604999999995, 0, 0
143.677132000000000, 1, 0
143.774663000000004, 0, 0
143.775273999999996, 0, 1
143.864688999999998, 1, 1
143.865803000000000, 1, 0
143.958587999999992, 0, 0
143.958682999999979, 0, 1
144.055785999999983, 1, 1
144.056120999999990, 1, 0
144.155101999999999, 1, 1
144.156631000000004, 0, 1
144.234925000000004, 0, 0
144.235077999999987, 1, 0
144.332295999999985, 0, 0
144.333194999999989, 0, 1
144.424002000000002, 1, 1
144.425732999999980, 1, 0
144.514605999999986, 1, 1
144.514627999999988, 0, 1
144.604771999999997, 1, 1
144.605908999999997, 1, 0
144.702079999999995, 0, 0
144.702762000000007, 0, 1
144.793727999999987, 1, 1
144.795803000000006, 1, 0
144.882703999999990, 0, 0
144.887176999999980, 0, 1
144.981240999999983, 0, 0
144.981261999999987, 1, 0
145.078703999999988, 0, 0
145.079862999999989, 0, 1
145.166757999999987, 0, 0
145.168815999999993, 1, 0
145.253862999999996, 1, 1
145.327565999999990, 0, 1
145.363620999999995, 1, 1
145.364090000000004, 1, 0
145.453634999999991, 1, 1
145.478114000000005, 0, 1
145.534548999999998, 0, 0
145.595338999999996, 1, 0
145.629018000000002, 0, 0
145.630853999999999, 0, 1
145.725155000000001, 0, 0
145.731093999999985, 1, 0
145.812016999999997, 1, 1
145.867029000000002, 0, 1
145.906835999999998, 0, 0
145.908486999999980, 1, 0
146.006371000000001, 1, 1
146.010019000000000, 0, 1
146.100576999999987, 0, 0
146.105336999999992, 1, 0
146.183690999999982, 0, 0
146.184800999999993, 0, 1
146.284606999999994, 0, 0
146.284885000000003, 1, 0
146.372640999999987, 1, 1
146.373767999999984, 0, 1
146.465507000000002, 0, 0
146.466770999999994, 1, 0
146.561795999999987, 1, 1
146.564240999999981, 0, 1
146.654291999999998, 1, 1
146.655137999999994, 1, 0
146.744451999999995, 1, 1
146.744524999999982, 0, 1
